L4 | Tue Mar 16 06:15:04 2021 (835 ms) | general | exiting: calling SDL_CloseAudio
L4 | Wed Aug  4 00:23:08 2021 (196 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 00:23:08 2021 (244 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 00:23:08 2021 (244 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 00:23:08 2021 (244 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 00:23:08 2021 (343 ms) | general | exiting: Done.

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | New game starting up
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | 30 fps
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | 60 fps
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | 100 fps
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | 120 fps
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | 144 fps
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general | Available video modes:
L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1920 x 1080

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1680 x 1050

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1600 x 900

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1440 x 900

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1366 x 768

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1280 x 1024

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1280 x 800

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1280 x 720

L4 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    1024 x 768

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    800 x 600

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    720 x 576

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    720 x 480

L5 | Wed Aug  4 01:29:33 2021 (671 ms) | general |    640 x 480

L4 | Wed Aug  4 01:29:33 2021 (878 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 01:29:33 2021 (945 ms) | general | Recording game into file recordedGames/recordedGame000026.txt
L4 | Wed Aug  4 01:29:33 2021 (945 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 01:29:33 2021 (947 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 01:29:33 2021 (980 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 01:29:34 2021 (133 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 01:29:48 2021 (179 ms) | general | exiting...

L4 | Wed Aug  4 01:29:48 2021 (179 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 01:29:48 2021 (221 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 01:29:48 2021 (221 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 01:29:48 2021 (221 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 01:29:48 2021 (268 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 01:29:48 2021 (268 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 01:29:48 2021 (268 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 01:29:48 2021 (360 ms) | general | exiting: Done.

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | New game starting up
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | 30 fps
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | 60 fps
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | 100 fps
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | 120 fps
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | 144 fps
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general | Available video modes:
L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1920 x 1080

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1680 x 1050

L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1600 x 900

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1440 x 900

L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1366 x 768

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1280 x 1024

L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1280 x 800

L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1280 x 720

L4 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    1024 x 768

L5 | Wed Aug  4 01:51:33 2021 (376 ms) | general |    800 x 600

L5 | Wed Aug  4 01:51:33 2021 (377 ms) | general |    720 x 576

L5 | Wed Aug  4 01:51:33 2021 (377 ms) | general |    720 x 480

L5 | Wed Aug  4 01:51:33 2021 (377 ms) | general |    640 x 480

L4 | Wed Aug  4 01:51:33 2021 (527 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 01:51:33 2021 (608 ms) | general | Recording game into file recordedGames/recordedGame000027.txt
L4 | Wed Aug  4 01:51:33 2021 (608 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 01:51:33 2021 (608 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 01:51:33 2021 (641 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 01:51:33 2021 (813 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 01:52:36 2021 (790 ms) | general | exiting...

L4 | Wed Aug  4 01:52:36 2021 (790 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 01:52:36 2021 (832 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 01:52:36 2021 (832 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 01:52:36 2021 (832 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 01:52:36 2021 (876 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 01:52:36 2021 (876 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 01:52:36 2021 (876 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 01:52:36 2021 (971 ms) | general | exiting: Done.

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | New game starting up
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | 30 fps
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | 60 fps
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | 100 fps
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | 120 fps
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | 144 fps
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general | Available video modes:
L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1920 x 1080

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1680 x 1050

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1600 x 900

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1440 x 900

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1366 x 768

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1280 x 1024

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1280 x 800

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1280 x 720

L4 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    1024 x 768

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    800 x 600

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    720 x 576

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    720 x 480

L5 | Wed Aug  4 04:10:48 2021 (472 ms) | general |    640 x 480

L4 | Wed Aug  4 04:10:48 2021 (620 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 04:10:48 2021 (725 ms) | general | Recording game into file recordedGames/recordedGame000028.txt
L4 | Wed Aug  4 04:10:48 2021 (725 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 04:10:48 2021 (727 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 04:10:48 2021 (772 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 04:10:48 2021 (930 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 04:13:30 2021 (101 ms) | general | exiting...

L4 | Wed Aug  4 04:13:30 2021 (101 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 04:13:30 2021 (143 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 04:13:30 2021 (143 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 04:13:30 2021 (143 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 04:13:30 2021 (190 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 04:13:30 2021 (190 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 04:13:30 2021 (191 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 04:13:30 2021 (304 ms) | general | exiting: Done.

L4 | Wed Aug  4 08:07:41 2021 (381 ms) | general | New game starting up
L4 | Wed Aug  4 08:07:41 2021 (381 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | 30 fps
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | 60 fps
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | 100 fps
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | 120 fps
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | 144 fps
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general | Available video modes:
L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1920 x 1080

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1680 x 1050

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1600 x 900

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1440 x 900

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1366 x 768

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1280 x 1024

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1280 x 800

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1280 x 720

L4 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    1024 x 768

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    800 x 600

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    720 x 576

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    720 x 480

L5 | Wed Aug  4 08:07:41 2021 (382 ms) | general |    640 x 480

L4 | Wed Aug  4 08:07:41 2021 (593 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 08:07:41 2021 (670 ms) | general | Recording game into file recordedGames/recordedGame000029.txt
L4 | Wed Aug  4 08:07:41 2021 (670 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 08:07:41 2021 (672 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 08:07:41 2021 (713 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 08:07:41 2021 (874 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 08:11:55 2021 (664 ms) | general | exiting...

L4 | Wed Aug  4 08:11:55 2021 (664 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 08:11:55 2021 (708 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 08:11:55 2021 (708 ms) | general | Freeing sound sprites

L4 | Wed Aug  4 08:11:55 2021 (709 ms) | general | exiting: freeing frameDrawer

L4 | Wed Aug  4 08:11:55 2021 (758 ms) | general | exiting: Deleting screen

L4 | Wed Aug  4 08:11:55 2021 (758 ms) | general | exiting: freeing drawString

L4 | Wed Aug  4 08:11:55 2021 (758 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Aug  4 08:11:55 2021 (887 ms) | general | exiting: Done.

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | New game starting up
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Target game image size:  1280x720

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | The following frame rates are considered possible:
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | 30 fps
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | 60 fps
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | 100 fps
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | 120 fps
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | 144 fps
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Sticking with user's current screen resolution
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general | Available video modes:
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1920 x 1080

L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 08:32:17 2021 (647 ms) | general |    1680 x 1050

