L4 | Tue Mar 16 06:15:04 2021 (835 ms) | general | exiting: calling SDL_CloseAudio
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1680 x 1050

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1600 x 900

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1440 x 900

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1366 x 768

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1280 x 1024

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1280 x 800

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1280 x 720

L4 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    1024 x 768

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    800 x 600

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    720 x 576

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    720 x 480

L5 | Wed Aug  4 00:21:44 2021 (740 ms) | general |    640 x 480

L4 | Wed Aug  4 00:21:44 2021 (922 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Wed Aug  4 00:21:45 2021 (23 ms) | general | Recording game into file recordedGames/recordedGame000025.txt
L4 | Wed Aug  4 00:21:45 2021 (23 ms) | general | Only keeping 20 past recordings
L4 | Wed Aug  4 00:21:45 2021 (23 ms) | general | Removed 1 stale recordings
L4 | Wed Aug  4 00:21:45 2021 (42 ms) | general | OneLife client v363 (binV=361, dataV=363) starting up
L2 | Wed Aug  4 00:21:45 2021 (235 ms) | general | xclip must be installed for clipboard to work
L4 | Wed Aug  4 00:23:08 2021 (157 ms) | general | exiting...

L4 | Wed Aug  4 00:23:08 2021 (157 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Aug  4 00:23:08 2021 (196 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Aug  4 00:23:08 2021 (196 ms) | general | Freeing sound sprites

